param,value,scenario,macro_f1,macro_f1_std,min_class_f1,n_seeds,malicious_rejected,honest_rejected
malicious_fraction,0.4,veritrust,0.6924,0.0106,0.4473,2,1.0,0.0111
malicious_fraction,0.5,veritrust,0.6785,0.0138,0.4307,2,0.7333,0.0
sketch_k,8.0,veritrust,0.6874,0.0085,0.4424,2,1.0,0.0
sketch_k,16.0,veritrust,0.6888,0.0081,0.4447,2,1.0,0.0
sketch_k,32.0,veritrust,0.688,0.0065,0.4464,2,1.0,0.0
sketch_k,64.0,veritrust,0.6873,0.0073,0.4432,2,1.0,0.0
sketch_k,128.0,veritrust,0.6875,0.0094,0.445,2,1.0,0.0
sketch_k_30r,8.0,veritrust,0.693,0.0071,0.445,2,0.9778,0.0833
sketch_k_30r,16.0,veritrust,0.6958,0.0094,0.4459,2,1.0,0.031
sketch_k_30r,32.0,veritrust,0.6931,0.0083,0.4394,2,1.0,0.0476
sketch_k_30r,64.0,veritrust,0.6931,0.0093,0.4443,2,1.0,0.0024
sketch_k_30r,128.0,veritrust,0.6918,0.0135,0.4377,2,1.0,0.0071
sketch_mode,block,veritrust,0.687,0.008,0.4382,2,1.0,0.0
sketch_mode,shifted,veritrust,0.688,0.0088,0.4463,2,1.0,0.0
sketch_mode_be,block,veritrust,0.658,0.0184,0.3926,2,0.1111,0.0476
sketch_mode_be,shifted,veritrust,0.6865,0.0078,0.4354,2,1.0,0.0
trust_threshold,0.1,veritrust,0.6859,0.0092,0.4418,2,1.0,0.0
trust_threshold,0.2,veritrust,0.6885,0.0082,0.4422,2,1.0,0.0
trust_threshold,0.3,veritrust,0.6883,0.0095,0.447,2,1.0,0.0
trust_threshold,0.4,veritrust,0.6871,0.0095,0.441,2,1.0,0.0
trust_threshold,0.5,veritrust,0.6877,0.0074,0.4458,2,1.0,0.0
trust_threshold,0.6,veritrust,0.6877,0.0101,0.4451,2,1.0,0.0
trust_threshold,0.7,veritrust,0.69,0.0042,0.451,2,1.0,0.0143
trust_threshold,0.8,veritrust,0.6873,0.0089,0.4484,2,1.0,0.0
trust_threshold_30r,0.1,veritrust,0.6942,0.0108,0.451,2,0.9389,0.0
trust_threshold_30r,0.2,veritrust,0.6915,0.0113,0.4387,2,0.9556,0.0262
trust_threshold_30r,0.3,veritrust,0.6947,0.0078,0.4619,2,0.9667,0.0262
trust_threshold_30r,0.4,veritrust,0.6963,0.0043,0.4547,2,1.0,0.0167
trust_threshold_30r,0.5,veritrust,0.692,0.0115,0.4452,2,1.0,0.0238
trust_threshold_30r,0.6,veritrust,0.6948,0.0029,0.4578,2,1.0,0.0381
trust_threshold_30r,0.7,veritrust,0.694,0.0081,0.4434,2,0.9778,0.0976
trust_threshold_30r,0.8,veritrust,0.6939,0.0023,0.4541,2,1.0,0.0929
